Player,Pos,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,pro bowl?
Tyronne Green,OG,74,309,5.4,,22,,,,0
Shonn Greene,RB,70,227,4.55,37,19,121,7.1,4.4,0
Courtney Greene,SS,72,212,4.55,34.5,21,116,7.35,4.16,0
Sean Griffin,LS,73,242,5.08,,14,,,,0
Dan Gronkowski,TE,77,255,4.79,33,26,122,6.92,4.26,0
Michael Hamlin,SS,74,214,4.57,37.5,17,117,7.14,4.42,0
Cullen Harper,QB,75,225,4.86,30,19,105,7.43,4.49,0
Graham Harrell,QB,74,223,4.95,29.5,,98,7.45,4.56,0
Sunny Harris,DT,76,298,4.88,25.5,28,106,8.18,4.87,0
Nic Harris,OLB,74,234,4.83,31.5,15,109,7.05,4.37,0
Macho Harris,CB,71,198,4.46,33.5,,118,6.68,3.98,0
Cary Harris,CB,71,187,4.66,,18,,,,0
Brian Hartline,WR,74,195,4.49,34.5,,120,6.65,4.12,0
Percy Harvin,WR,71,192,4.39,,19,,,,1
Brett Helms,C,74,286,5.39,,25,,,,0
Darrius Heyward-Bey,WR,74,210,4.3,38.5,16,126,6.8,4.18,0
Sammie Hill,DT,76,329,5.12,28,27,109,7.89,4.97,0
P.J. Hill,RB,70,222,4.63,,,,,,0
Anthony Hill,TE,77,262,4.84,30.5,21,107,7.31,4.56,0
Stephen Hodge,OLB,72,234,4.59,35,22,115,7.21,4.34,0
Chase Holbrook,QB,76,242,5.12,27,,108,7.93,4.65,0
Lendy Holmes,FS,72,206,4.65,32,16,112,7.28,4.32,0
Ziggy Hood,DT,75,300,4.83,33,34,108,7.5,4.55,0
Brian Hoyer,QB,74,215,5.02,32,,109,7.1,4.42,0
Kevin Huber,P,73,220,4.87,,,,,,1
Brandon Hughes,CB,70,182,4.4,36.5,8,128,6.9,4.23,0
Juaquin Iglesias,WR,73,210,4.44,34.5,,116,,4.4,0
Jake Ingram,LS,75,232,4.9,,15,,,,0
Cornelius Ingram,TE,76,245,4.68,33,21,,7.12,4.53,0
Corvey Irvin,DT,75,301,4.96,24.5,24,97,7.44,4.73,0
Greg Isdaner,OG,75,325,5.28,27,24,92,7.96,5.07,0
Mortty Ivy,ILB,73,248,4.78,25.5,18,104,7.35,4.75,0
Tyson Jackson,DE,76,296,4.94,28.5,,102,7.64,4.8,0
Tim Jamison,DE,74,256,4.95,30,21,107,7.56,4.6,0
Ricky Jean-Francois,DT,75,295,5.19,26,25,93,,,0
Malcolm Jenkins,CB,72,204,4.51,33,15,124,6.59,4.08,1
Rashad Jennings,RB,73,231,4.52,34,29,120,6.86,4.2,0
Peria Jerry,DT,74,299,4.98,,,,,,0
Taurus Johnson,WR,72,206,4.49,35.5,18,121,7.37,4.24,0
Rashad Johnson,FS,71,203,4.49,37,15,120,7.09,4.23,0
Quinn Johnson,FB,73,246,4.72,32,16,115,,,0
Michael Johnson-02,DE,79,266,4.61,38.5,28,128,7.42,4.37,0
Manuel Johnson,WR,71,189,4.5,,,,,,0
Jeremiah Johnson,RB,69,209,4.57,35,20,115,,,0
Ian Johnson,RB,71,212,4.41,33,26,116,6.93,4.18,0
Herman Johnson,OG,79,364,5.5,,21,,,,0
Gartrell Johnson,RB,70,219,4.67,34,20,114,,,0
David Johnson-01,FB,73,260,4.73,32.5,21,113,7.28,4.43,0
D.J. Johnson,CB,73,197,4.5,32,7,116,7,4.3,0
Bruce Johnson,CB,69,170,4.42,34.5,6,125,6.71,4.05,0
Aaron Kelly,WR,76,204,4.49,38,11,119,7.25,4.45,0
Andy Kemp,OG,77,313,5.35,25.5,23,91,7.86,4.86,0
Anthony Kimble,RB,72,216,4.54,36,17,122,7.08,4.4,0
Mitch King,DT,73,280,4.81,33.5,23,109,7.6,4.58,0
Terrance Knighton,DT,75,321,4.93,28,,103,7.9,4.78,0
Johnny Knox,WR,71,185,4.34,35,,122,6.81,4.15,1
Troy Kropog,OT,77,309,5.3,30,21,100,7.65,4.84,0
Paul Kruger,DE,76,263,4.79,32.5,24,108,7.52,4.47,0
James Laurinaitis,ILB,74,244,4.72,33,22,115,6.93,4.24,0
Quinten Lawrence,WR,72,184,4.4,,20,,,,0
Andy Levitre,OG,75,305,5.33,30.5,23,103,,4.52,0
DeAndre Levy,OLB,74,236,4.56,,19,119,,,0
Keenan Lewis,CB,73,208,4.47,33.5,19,123,,,0
Cornelius Lewis,OT,75,332,5.22,24.5,29,90,,,0
Kyle Link,OT,77,305,5.45,,19,,,,0
Phil Loadholt,OT,80,332,5.45,29,24,95,8.18,5.06,0
Marlon Lucky,RB,71,216,4.5,33.5,18,114,7.1,,0
Jonathan Luigs,C,76,301,5.14,31,26,99,7.69,4.79,0
Alex Mack,C,76,311,5.17,,,,,,1
Jeremy Maclin,WR,72,198,4.43,,,,,,0
Alex Magee,DT,75,298,4.82,29.5,30,103,7.52,4.55,0
Kaluka Maiava,OLB,71,229,4.65,,30,110,6.98,4.2,0
Marcus Mailei,FB,72,248,4.87,35,22,113,7.36,4.33,0
Brennan Marion,WR,71,187,4.52,,,,,,0
Sen'Derrick Marks,DT,74,306,5,33,,,,,0
Sherrod Martin,CB,73,198,4.43,36,12,123,6.6,3.98,0
Orion Martin,DE,74,262,4.7,32,24,108,7.9,4.63,0
Jose Martinez,K,69,197,4.96,,,,,,0
Mohamed Massaquoi,WR,73,210,4.51,36.5,,127,,,0
Tim Masthay,P,73,198,4.8,,8,,,,0
Clay Matthews,OLB,75,240,4.58,35.5,23,121,6.9,4.18,1
Rey Maualuga,ILB,74,249,4.58,,23,107,,,0
Josh Mauga,ILB,73,243,4.61,,,,,,0
Aaron Maybin,DE,76,249,4.64,38,22,124,7.52,4.38,0
Darcel McBath,FS,72,198,4.53,38,14,119,6.8,4.16,0
Marcus McClinton,FS,72,210,4.49,37,16,120,7.45,4.22,0
LeSean McCoy,RB,70,198,4.5,,,,,,1
Stephen McGee,QB,75,225,4.61,33,,112,7.34,4.49,0
Ryan McKee,OT,78,296,5.03,,,,,,0
Tyrone McKenzie,OLB,74,243,4.76,,27,112,,,0
Scott McKillop,ILB,73,244,4.7,35.5,27,119,7,4.39,0
Kenny McKinley,WR,72,189,4.37,37,,113,6.96,4.1,0
Gerald McRath,ILB,74,231,4.49,34,19,123,7.24,4.35,0
Andrew Means,WR,73,214,4.36,34.5,12,116,6.85,4.21,0
Jamon Meredith,OT,77,304,4.99,28,31,105,8.01,4.82,0
Mike Mickens,CB,71,184,4.53,,,,,,0
Roy Miller,DT,73,310,4.93,32,36,103,8.01,4.74,0
Mo Miller,OG,75,327,5.38,28.5,21,97,8.42,5.03,0
Marko Mitchell,WR,76,218,4.43,32,9,116,7.04,4.33,0
Khalif Mitchell,DT,77,318,5.04,30,30,109,7.45,4.71,0
Fili Moala,DT,76,305,5.07,30.5,25,100,,,0
Eugene Monroe,OT,77,309,5.18,28.5,23,110,7.86,4.78,0
William Moore,SS,72,221,4.49,37,16,123,6.81,4.26,1
Kyle Moore,DE,77,272,4.76,30.5,22,105,7.4,4.47,0
D.J. Moore-01,CB,69,192,4.56,39.5,17,118,7.01,4.28,0
Knowshon Moreno,RB,71,217,4.5,35.5,25,115,6.84,4.27,0
Cameron Morrah,TE,75,244,4.61,32.5,24,115,6.99,4.36,0
Thomas Morstead,P,76,225,4.83,,19,,,,1
Ryan Mouton,CB,69,187,4.47,39.5,18,129,,,0
Captain Munnerlyn,CB,68,182,4.41,37.5,19,121,7.15,4.2,0
Louis Murphy,WR,74,203,4.32,,12,,,,0
Lydon Murtha,OT,79,306,4.82,35,25,110,7.06,4.34,0
Rob Myers,FB,75,243,4.58,,,,,,0
Shawn Nelson,TE,77,240,4.52,33,19,115,6.96,4.46,0
Hakeem Nicks,WR,73,212,4.51,36,,,,,0
Troy Nolan,FS,72,206,4.58,31.5,12,117,7.06,4.3,0
Jordan Norwood,WR,71,179,4.58,38,,119,6.8,4.2,0
Chris Ogbonnaya,RB,72,220,4.57,35,19,111,6.85,4.29,0
Kevin Ogletree,WR,72,196,4.36,36,,122,6.67,4.08,0
Michael Oher,OT,76,309,5.16,30.5,21,103,7.81,4.6,0
Seth Olsen,OG,77,306,5.23,24.5,23,90,7.59,4.7,0
Brian Orakpo,DE,75,263,4.63,39.5,31,,,,1
Branden Ore,RB,71,214,4.61,36,21,112,7.35,4.44,0
Greg Orton,WR,75,207,4.61,38,22,125,6.9,4.33,0
Wopamo Osaisai,CB,70,197,4.44,,14,,,,0
Chris Owens,CB,70,181,4.44,34.5,14,110,6.93,4.16,0
Curtis Painter,QB,75,225,4.87,29,,102,7,4.48,0
Ryan Palmer,CB,68,190,4.54,36.5,16,121,7.12,4.29,0
Anthony Parker,OG,74,297,5.08,,24,,,,0
Augustus Parrish,OT,76,302,5.29,,21,78,,,0
Bear Pascoe,TE,77,251,4.89,26.5,,107,7.65,4.55,0
Darius Passmore,WR,72,188,4.46,33.5,,,,,0
Cedric Peerman,RB,69,216,4.34,40,27,117,6.99,4.29,1
Derek Pegues,FS,70,199,4.54,36,23,119,7.08,4.3,0
Brandon Pettigrew,TE,77,263,4.8,33,22,118,7.12,4.37,0
Jason Phillips,ILB,73,239,4.6,34,20,120,,4.32,0
John Phillips,TE,77,251,4.78,33.5,20,112,6.84,4.27,0
Zach Potter,DE,79,279,4.9,31,20,106,7.75,4.48,0
Jerraud Powers,CB,69,188,4.43,36.5,15,122,7.09,4.08,0
Myron Pryor,DT,72,319,5.03,30,,107,8.16,4.75,0
Glover Quin,FS,71,204,4.5,38,22,119,7.39,4.43,1
Richard Quinn,TE,76,264,4.88,32.5,24,119,7.5,4.62,0
B.J. Raji,DT,73,337,5.12,32,33,103,7.9,4.69,1
Mike Reilly,QB,75,214,4.74,30.5,,109,6.76,4.11,0
Garrett Reynolds,OT,80,309,5.32,22,19,94,7.87,4.88,0
Darryl Richard,DT,74,303,5.08,25.5,17,,,,0
David Richmond,WR,74,197,4.59,36.5,,,,4.42,0
Javon Ringer,RB,69,205,4.5,34,23,115,6.87,4.11,0
Duke Robinson,OG,77,329,5.32,,,,,,0
Lee Robinson,OLB,74,249,4.71,32.5,24,113,7.57,4.67,0
Brian Robiskie,WR,75,209,4.46,37.5,,,6.72,4.19,0
Louie Sakoda,K,68,176,4.82,,,,,,0
Mark Sanchez,QB,74,227,4.93,32.5,,116,7.06,4.21,0
Jamarca Sanford,SS,70,214,4.43,33.5,29,116,7.02,4.2,0
Lydell Sargeant,CB,69,190,4.48,35,15,117,7,4.21,0
Bernard Scott,RB,70,200,4.44,36,21,125,6.82,4.08,0
Darell Scott,DT,75,312,4.92,30.5,29,107,8.28,4.84,0
Matt Shaughnessy,DE,77,266,4.86,30.5,24,112,7.68,4.88,0
Kory Sheets,RB,71,208,4.39,37,15,121,7.18,4.39,0
A.Q. Shipley,C,73,304,5.19,31,33,100,7.46,4.4,0
Lawrence Sidbury,DE,74,266,4.53,35,28,120,7.46,4.43,0
Clint Sintim,OLB,75,256,4.75,34.5,,119,7.37,4.4,0
Matt Slauson,OG,77,316,5.26,34,,110,7.86,4.86,0
Alphonso Smith,CB,69,193,4.47,34,13,125,7.09,4.38,0
Andre Smith-01,OT,76,332,5.28,,,,,,0
DeAngelo Smith,CB,71,194,4.5,31.5,17,109,7.27,4.35,0
Jason Smith,OT,77,309,5.09,24,33,96,7.53,4.69,0
Sean Smith,CB,75,214,4.47,34,10,119,6.92,4.15,0
Brannan Southerland,FB,72,242,4.69,38,28,120,7.4,4.4,0
Kory Sperry,TE,77,238,4.69,33.5,20,122,7,4.24,0
C.J. Spillman,FS,72,197,4.45,41.5,,122,7.05,4.33,0
Matthew Stafford,QB,74,225,4.81,30.5,,107,7.06,4.47,1
Sammie Stroughter,WR,69,189,4.45,30,13,110,7.03,4.28,0
Stryker Sulak,DE,76,251,4.63,31,22,113,7.31,4.58,0
Tyrell Sutton,RB,68,211,4.64,33,,114,6.94,4.32,0
Sam Swank,K,72,193,4.95,,,,,,0
Nate Swift,WR,73,203,4.63,35.5,12,110,6.78,4.24,0
Brandon Tate,WR,72,183,4.52,,,,,,0
Curtis Taylor,FS,74,209,4.49,37.5,13,129,7.25,4.23,0
Terrance Taylor,DT,72,306,5.08,30,37,104,7.78,5.06,0
Jaimie Thomas,OG,76,323,5.29,,20,,,,0
Mike Thomas,WR,68,195,4.3,40.5,,126,6.65,4.28,0
Morgan Trent,CB,73,193,4.5,38,23,127,7.05,4.01,0
Fenuki Tupou,OT,77,314,5.2,25.5,24,94,8.33,5.02,0
Patrick Turner,WR,77,223,4.59,,,,,,0
Brandon Underwood,FS,73,198,4.48,36.5,16,125,7,4.2,0
Tiquan Underwood,WR,73,184,4.31,41.5,7,129,6.62,4.11,0
Max Unger,C,77,309,5.26,24.5,22,93,7.39,4.5,1
Kraig Urbik,OG,77,328,5.25,24,29,94,7.87,4.89,0
Jose Valdez,OT,76,315,5.16,29.5,15,100,7.93,4.93,0
Louis Vasquez,OG,77,333,5.22,,39,,,,1
Chip Vaughn,SS,73,221,4.42,37,21,125,7.03,4.12,0
David Veikune,DE,74,257,4.75,33,35,110,7.2,4.46,0
Brandon Walker,OG,75,306,5.09,34,26,109,,5.07,0
Derek Walker,DE,76,268,4.98,37.5,24,115,7.31,4.41,0
Vance Walker,DT,74,304,5.32,33,29,,,,0
Mike Wallace,WR,72,199,4.33,40,14,129,6.9,4.27,1
Donald Washington,CB,72,197,4.5,45,9,135,6.84,4.2,0
Jason Watkins,OT,78,318,5.51,24.5,18,90,7.89,5.03,0
Lardarius Webb,CB,70,179,4.35,36.5,15,121,6.77,4.1,0
Beanie Wells,RB,73,235,4.38,33.5,25,128,,,0
Pat White,QB,72,197,4.55,35,,117,7.06,4.42,0
Otis Wiley,SS,73,213,4.64,,,,,,0
Brandon Williams-02,DE,74,261,4.78,33,,112,7.23,4.49,0
Derrick Williams,WR,71,194,4.47,33,15,,,,0
Eddie Williams,FB,73,239,4.79,,23,,,,0
Edwin Williams,C,74,308,5.4,28.5,22,99,8.15,4.98,0
Jaison Williams,WR,76,237,4.47,35.5,14,118,7.37,4.56,0
Javarris Williams,RB,69,223,4.51,33.5,25,116,,,0
Worrell Williams,ILB,71,240,4.75,35,23,111,,,0
Drew Willy,QB,75,215,4.9,30.5,,109,7.18,4.45,0
John Parker Wilson,QB,73,219,4.75,29.5,,105,7.53,4.59,0
Eric Wood,C,76,310,5.19,30.5,30,99,7.56,4.51,1
Morris Wooten,ILB,72,231,5,,15,117,,,0
Jahi Word-Daniels,CB,72,197,4.59,35.5,24,122,,,0
DeAndre Wright,CB,71,198,4.52,34.5,17,122,7,4.44,0
Jarius Wynn,DE,75,275,4.94,31.5,19,107,7.4,4.58,0
Seyi Ajirotutu,WR,75,204,4.6,36,14,115,7.22,4.39,0
Rahim Alem,DE,75,251,4.75,30.5,,106,7.54,4.8,0
Danario Alexander,WR,77,215,4.62,,,,,,0
Charles Alexander,DT,76,300,5.4,,,,,,0
Nate Allen,FS,72,207,4.5,,16,,,,0
Tyson Alualu,DE,74,295,4.87,35.5,21,116,7.15,4.43,0
Jonathon Amaya,FS,73,203,4.43,28,8,118,,,0
Pat Angerer,ILB,72,235,4.71,35,26,110,7.04,4.29,0
Lucien Antoine,SS,72,215,4.62,32,28,120,7.38,4.47,0
Javier Arenas,CB,69,197,4.6,,,112,,,0
Alric Arnett,WR,74,188,4.52,40,,122,7.03,4.43,0
Jon Asamoah,OG,76,305,5.07,,,,,,0
Larry Asante,SS,72,212,4.62,37.5,14,118,7,4.17,0
Geno Atkins,DT,73,293,4.75,33,34,117,7.33,4.43,1
Brandon Banks,WR,67,149,4.37,31,,113,6.88,4.29,0
Kevin Basped,DE,76,258,4.75,29,26,104,7.54,4.88,0
Zane Beadles,OG,76,310,5.28,,27,,,,1
Jason Beauchamp,ILB,75,244,4.89,39.5,21,120,7.1,,0
Joique Bell,RB,71,220,4.68,36.5,,120,6.84,4.17,0
Chris Bell,WR,74,211,4.5,35,15,117,6.76,4.35,0
Arrelious Benn,WR,73,219,4.57,37,20,118,,,0
Eric Berry,FS,72,211,4.4,43,19,130,6.8,4.23,1
Jahvid Best,RB,70,199,4.34,32.5,18,113,6.75,4.17,0
Ciron Black,OG,76,327,5.53,25.5,23,91,8.52,5.13,0
LeGarrette Blount,RB,72,241,4.7,35,18,117,6.85,4.49,0
Nyan Boateng,WR,73,204,4.66,36,14,112,7.35,4.69,0
Kyle Bosworth,OLB,73,236,4.69,32.5,25,117,6.67,4.11,0
Brent Bowden,P,74,202,4.8,,,,,,0
Navorro Bowman,OLB,72,242,4.7,29.5,26,115,6.91,4.59,1
Sam Bradford,QB,76,236,4.79,,,,,,0
Dezmon Briscoe,WR,74,207,4.66,33,9,115,7.1,4.57,0
Dorian Brooks,OG,74,306,5.15,23,26,100,7.73,4.66,0
Levi Brown-02,QB,75,229,4.93,31.5,20,106,7.07,4.43,0
Jarrett Brown,QB,75,224,4.5,34.5,,114,7.24,4.39,0
Cornelius Brown,CB,71,198,4.59,31.5,11,118,6.87,4.24,0
Chris Brown-04,RB,70,210,4.55,36,17,115,,,0
Charles Brown-01,OT,77,303,5.21,31.5,21,,,,0
Antonio Brown,WR,70,186,4.56,33.5,13,105,6.98,4.18,1
Dez Bryant,WR,74,225,4.52,,,,,,1
Bryan Bulaga,OT,77,314,5.2,27.5,26,98,7.7,4.75,0
Morgan Burnett,FS,73,209,4.51,,16,,,,0
Donald Butler,ILB,73,245,4.61,,35,,,,0
Crezdon Butler,CB,72,191,4.43,39.5,17,121,7.08,4.23,0
Jeff Byers,C,75,301,5.04,,33,,,,0
Nate Byham,TE,76,268,4.97,29,,109,,,0
Kyle Calloway,OT,78,323,5.46,23.5,22,92,7.96,4.86,0
Lee Campbell,ILB,74,247,4.88,34,17,108,7.27,4.4,0
Bruce Campbell,OT,78,314,4.75,32,34,101,7.58,4.69,0
Sean Canfield,QB,76,223,4.93,29.5,,100,7.26,4.39,0
Selvish Capers,OT,77,308,5.11,30.5,19,106,7.68,4.68,0
Alex Carrington,DE,77,285,4.92,,26,,,,0
Nolan Carroll,CB,71,204,4.42,,,,,,0
Chris Carter-01,WR,71,191,4.49,,12,,,,0
Brandon Carter,OG,78,329,5.34,24.5,22,102,7.82,4.94,0
Kam Chancellor,FS,75,231,4.62,32,22,116,7.36,4.41,1
Chris Chancellor,CB,69,177,4.49,34,14,115,6.85,4.07,0
Jamar Chaney,ILB,73,242,4.54,39,26,124,6.9,4.29,0
Barry Church,SS,73,222,4.69,36,19,121,6.65,4.17,0
Daryll Clark,QB,74,235,4.72,,21,,,,0
Jimmy Clausen,QB,75,222,4.76,,,,,,0
Keenan Clayton,OLB,73,229,4.59,41.5,27,124,,,0
Terrence Cody,DT,76,354,5.71,20.5,,90,8.19,5.03,0
Justin Cole,OLB,75,242,4.76,34.5,22,117,7.13,4.42,0
Kurt Coleman,SS,70,192,4.55,,19,,,,0
Harry Coleman,SS,73,211,4.56,33,13,115,7.24,4.42,0
Antonio Coleman,OLB,73,255,4.76,,18,113,,,0
Kavell Conner,OLB,72,242,4.59,33.5,24,110,7.36,4.6,0
John Conner,FB,71,246,4.64,35,24,111,7.15,4.32,0
Erik Cook,C,78,318,5.55,25,19,94,8.24,4.99,0
Chris Cook,CB,74,212,4.45,38,7,132,6.88,4.23,0
Riley Cooper,WR,75,222,4.53,33,,114,,,0
Perrish Cox,CB,71,195,4.58,32.5,12,113,,,0
Jermaine Cunningham,DE,75,266,4.89,,,,,,0
Rennie Curran,OLB,71,235,4.75,34.5,25,,,,0
Hall Davis,DE,76,271,4.84,,28,,,,0
Dexter Davis,OLB,73,244,4.62,35,25,109,7.08,4.3,0
Anthony Davis-03,OT,77,323,5.36,33,21,99,8.17,4.97,0
Brandon Deaderick,DT,76,314,5.08,,,,,,0
Eric Decker,WR,75,217,4.54,,15,,,,0
Chris DeGeare,OG,76,325,5.12,32.5,27,103,7.84,4.9,0
Dorin Dickerson,TE,73,226,4.4,43.5,24,125,6.96,4.3,0
Ed Dickson,TE,76,249,4.59,34,23,115,7.32,4.59,0
Phillip Dillard,ILB,72,245,4.65,31.5,,106,7.16,4.43,0
Anthony Dixon,RB,73,233,4.67,33,15,121,7.09,4.49,0
Andre Dixon,RB,73,205,4.56,40,,117,6.99,4.19,0
Matt Dodge,P,73,224,,,,,,,0
Jim Dray,TE,77,246,4.82,,17,,,,0
Vladimir Ducasse,OT,76,332,5.21,26,29,91,8.25,4.97,0
Carlos Dunlap,DE,78,277,4.68,31.5,21,111,7.21,4.61,1
Jonathan Dwyer,RB,71,229,4.64,33,15,107,7.56,4.67,0
Marcus Easley,WR,75,210,4.39,34,16,123,6.94,4.6,0
A.J. Edds,OLB,76,246,4.62,33,16,117,7.19,4.28,0
Armanti Edwards,WR,71,187,4.41,,,,,,0
Brody Eldridge,TE,77,261,4.72,31.5,,,,,0
Dedrick Epps,TE,75,250,4.7,,19,,,,0
Jacoby Ford,WR,69,186,4.28,33.5,15,115,7,4.44,0
Jason Fox,OT,79,303,5.45,,23,,,,0
Dominique Franks,CB,71,194,4.46,33.5,10,117,7.32,4.33,0
Junior Galette,OLB,74,257,4.77,33.5,25,113,7.04,4.16,0
Clifton Geathers,DE,79,299,4.98,36,26,112,7.69,,0
Riar Geer,FB,75,256,5,33,13,106,7.13,4.29,0
Toby Gerhart,RB,72,231,4.5,38,22,118,6.94,4.25,0
David Gettis,WR,75,217,4.43,34.5,15,124,6.94,4.41,0
Brandon Ghee,CB,72,192,4.37,37,15,127,6.75,4.07,0
Thaddeus Gibson,OLB,74,243,4.78,32,32,115,6.84,4.27,0
Mardy Gilyard,WR,72,187,4.61,39,,116,6.92,4.4,0
Travis Goethel,ILB,74,240,4.81,35,21,111,6.93,4.54,0
Jimmy Graham,TE,78,260,4.53,38.5,,120,6.9,4.45,1
Garrett Graham,TE,75,243,4.71,34.5,20,112,7.09,4.35,0
Brandon Graham,OLB,73,268,4.71,,31,,,,1
Marshay Green,CB,69,180,4.52,35.5,,124,6.66,4.11,0
Kurtis Gregory,OG,76,305,5.31,25.5,26,91,7.62,4.93,0
Jermaine Gresham,TE,77,261,4.66,35,20,113,7.07,4.53,1
Clint Gresham,LS,75,236,5.08,,,,,,0
Everson Griffen,DE,75,273,4.65,,32,,,,1
Cody Grimm,SS,71,203,4.55,35.5,11,117,6.58,,0
Rob Gronkowski,TE,78,264,4.68,,23,,,,1
Joe Haden,CB,71,193,4.52,35,18,125,6.94,4.34,1
Max Hall,QB,73,209,4.84,32,,102,7.07,4.35,0
Clay Harbor,FB,75,252,4.62,40,30,120,,4.37,0
Montario Hardesty,RB,72,225,4.49,41,21,124,6.87,4.14,0
Greg Hardy,DE,76,281,4.82,35,21,117,7.25,4.65,1
Chris Hawkins-02,CB,72,187,4.43,35,16,118,6.91,4.46,0
Joe Hawley,C,75,297,5.21,26,35,105,7.5,4.73,0
Aaron Hernandez,TE,74,245,4.64,,,,,,0
Tim Hiller,QB,76,229,4.97,32.5,18,118,7.1,4.54,0
Shay Hodge,WR,73,209,4.62,33.5,11,117,6.9,4.32,0
Trindon Holliday,WR,65,166,4.34,42,10,116,6.54,4.48,0
Michael Hoomanawanui,TE,76,264,4.77,,25,,,,0
Lamarr Houston,DT,75,305,4.84,33.5,30,114,7.61,4.71,0
Jerry Hughes,OLB,74,255,4.65,34.5,26,118,6.99,4.15,0
Josh Hull,ILB,75,237,4.93,32.5,25,115,6.86,4.07,0
Carl Ihenacho,OLB,74,255,4.86,,20,,,,0
Mike Iupati,OG,77,331,5.24,27.5,27,92,7.85,4.93,1
Rashawn Jackson,FB,73,239,4.75,34.5,,117,,,0
Kareem Jackson,CB,70,196,4.4,37.5,13,118,6.92,4.14,0
Brian Jackson,CB,73,202,4.65,35.5,20,120,6.76,4.22,0
Javarris James,RB,72,212,4.58,36,21,115,,,0
Brandon James,RB,66,176,4.47,,14,,,,0
A.J. Jefferson,CB,72,193,4.42,44,7,126,6.72,4,0
John Jerry,OT,77,328,5.15,27.5,,101,7.93,4.69,0
Stafon Johnson,RB,71,214,4.62,35.5,13,118,,,0
Mike Johnson,OG,77,312,5.37,25,,91,8.15,5.01,0
Micah Johnson,ILB,73,258,4.99,29,31,,,,0
Kyle Jolly,OT,78,311,5.36,21.5,20,89,7.89,4.87,0
Reshad Jones,SS,73,214,4.51,39.5,24,118,7.43,4.54,1
Donald Jones,WR,72,214,4.46,41,20,119,6.9,4.2,0
Chad Jones,SS,74,221,4.59,36,9,115,6.83,4.14,0
Arthur Jones,DT,75,301,5.04,,,,,,0
Linval Joseph,DT,76,328,5.09,30,39,100,8.12,4.71,1
Kevin Jurovich,WR,71,188,4.45,,14,,,,0
Mike Kafka,QB,75,225,4.93,32,,110,6.96,4.37,0
Sergio Kindle,OLB,75,250,4.65,36.5,25,118,7.26,4.53,0
Jammie Kirlew,DE,73,260,5.05,33,26,111,7.5,4.74,0
Matt Kopa,OT,78,300,5.14,,,,,,0
Keaton Kristick,OLB,75,234,4.7,34,16,120,6.96,4.21,0
Brandon LaFell,WR,74,211,4.58,36,,115,6.81,4.23,0
Brandon Lang,DE,76,266,5,28.5,20,104,,4.68,0
Ted Larsen,C,75,304,5.19,24,26,96,7.81,4.66,0
Shawn Lauvao,OG,75,315,5.22,26.5,33,101,7.56,4.51,0
Simoni Lawrence,OLB,72,232,4.59,40,21,123,7.3,4.43,0
Sean Lee,ILB,74,236,4.71,37.5,24,120,,,1
Boris Lee,ILB,72,238,4.94,32.5,27,112,,,0
Dan LeFevour,QB,75,230,4.6,29.5,,110,6.93,4.22,0
Thaddeus Lewis,QB,72,215,4.84,28,,107,,,0
Myron Lewis,FS,74,203,4.42,37,10,126,,,0
Kendrick Lewis,FS,72,198,4.73,31.5,16,116,6.88,4.33,0
Trevard Lindley,CB,71,183,4.51,38.5,9,116,6.81,4.27,0
Scott Long,WR,74,216,4.46,41.5,20,123,6.45,4.09,0
Erik Lorig,DE,75,281,4.86,,,,,,0
Robert Malone,P,74,235,4.84,,19,,,,0
Darius Marshall,RB,69,190,4.59,35.5,14,109,,4.39,0
Jeron Mastrud,TE,77,256,4.82,,,,,,0
Ryan Mathews,RB,72,218,4.37,36,19,121,7,4.33,1
Sam Maxwell,OLB,74,246,4.98,33,,108,7.37,4.52,0
Taylor Mays,FS,75,230,4.31,41,24,125,,,0
Kyle McCarthy,SS,72,205,4.58,34,24,117,6.74,4.13,0
Rolando McClain,ILB,75,254,4.68,,24,,,,0
Albert McClellan,ILB,73,247,4.75,36.5,26,119,7.24,4.21,0
Dexter McCluster,WR,69,172,4.53,37.5,20,118,,4.06,1
Devin McCourty,CB,71,193,4.38,36,16,126,6.7,4.07,1
Gerald McCoy,DT,76,295,5.04,30.5,23,114,7.32,4.48,1
Colt McCoy,QB,73,216,4.79,,,114,,,0
Anthony McCoy,TE,76,259,4.71,35.5,19,113,6.99,4.57,0
Chris McGaha,WR,73,201,4.52,40,19,122,,4.21,0
Joe McKnight,RB,71,198,4.4,36.5,18,120,,,0
Mike McLaughlin,ILB,72,242,4.84,38.5,29,114,6.85,4.11,0
Sherrick McManis,CB,71,195,4.48,,,,,,0
Shawnbrey McNeal,RB,69,194,4.53,36,14,117,,,0
Kerry Meier,WR,74,224,4.62,35,13,115,,4.23,0
Zoltan Mesko,P,76,240,4.79,,16,,,,0
Greg Middleton,DE,75,268,4.96,38,,116,7.65,4.69,0
Lonyae Miller,RB,71,221,4.43,36.5,26,120,7.2,4.54,0
Brandon Minor,RB,72,214,4.59,,,,,,0
Koa Misi,OLB,75,251,4.75,38,,127,7.07,4.27,0
Earl Mitchell,DT,74,296,4.75,28.5,25,107,7.68,4.55,0
Carlton Mitchell,WR,75,215,4.46,36,16,122,6.96,4.55,0
